# name|moods|minutes|difficulty|description|image|ingredients-json|steps-json
清香快炒鸡胸肉西兰花|平静,满足,疲惫|18|简单|鸡胸肉和西兰花搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","西兰花 250g","蒜 5g","食用油 10ml","盐 2g"]|["将鸡胸肉处理成薄片或小块，西兰花洗净切好。","锅中放一半食用油，把鸡胸肉炒至完全熟透后盛出。","补入余油和蒜末，放西兰花大火翻炒至断生。","倒回鸡胸肉，加盐翻匀后立即装盘。"]
黑椒小炒鸡胸肉西兰花|开心,期待,嘴馋|22|简单|鸡胸肉和西兰花搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","西兰花 250g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将鸡胸肉切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把西兰花洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将鸡胸肉炒至完全熟透。","加入西兰花和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒鸡胸肉彩椒|平静,满足,疲惫|18|简单|鸡胸肉和彩椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","彩椒 180g","蒜 5g","食用油 10ml","盐 2g"]|["将鸡胸肉处理成薄片或小块，彩椒洗净切好。","锅中放一半食用油，把鸡胸肉炒至完全熟透后盛出。","补入余油和蒜末，放彩椒大火翻炒至断生。","倒回鸡胸肉，加盐翻匀后立即装盘。"]
黑椒小炒鸡胸肉彩椒|开心,期待,嘴馋|22|简单|鸡胸肉和彩椒搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","彩椒 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将鸡胸肉切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把彩椒洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将鸡胸肉炒至完全熟透。","加入彩椒和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒鸡胸肉芦笋|平静,满足,疲惫|18|简单|鸡胸肉和芦笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","芦笋 200g","蒜 5g","食用油 10ml","盐 2g"]|["将鸡胸肉处理成薄片或小块，芦笋洗净切好。","锅中放一半食用油，把鸡胸肉炒至完全熟透后盛出。","补入余油和蒜末，放芦笋大火翻炒至断生。","倒回鸡胸肉，加盐翻匀后立即装盘。"]
黑椒小炒鸡胸肉芦笋|开心,期待,嘴馋|22|简单|鸡胸肉和芦笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","芦笋 200g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将鸡胸肉切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把芦笋洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将鸡胸肉炒至完全熟透。","加入芦笋和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒鸡胸肉口蘑|平静,满足,疲惫|18|简单|鸡胸肉和口蘑搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","口蘑 180g","蒜 5g","食用油 10ml","盐 2g"]|["将鸡胸肉处理成薄片或小块，口蘑洗净切好。","锅中放一半食用油，把鸡胸肉炒至完全熟透后盛出。","补入余油和蒜末，放口蘑大火翻炒至断生。","倒回鸡胸肉，加盐翻匀后立即装盘。"]
黑椒小炒鸡胸肉口蘑|开心,期待,嘴馋|22|简单|鸡胸肉和口蘑搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","口蘑 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将鸡胸肉切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把口蘑洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将鸡胸肉炒至完全熟透。","加入口蘑和蒜末大火翻炒2分钟，尝味后装盘。"]
清香快炒鸡胸肉玉米笋|平静,满足,疲惫|18|简单|鸡胸肉和玉米笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","玉米笋 180g","蒜 5g","食用油 10ml","盐 2g"]|["将鸡胸肉处理成薄片或小块，玉米笋洗净切好。","锅中放一半食用油，把鸡胸肉炒至完全熟透后盛出。","补入余油和蒜末，放玉米笋大火翻炒至断生。","倒回鸡胸肉，加盐翻匀后立即装盘。"]
黑椒小炒鸡胸肉玉米笋|开心,期待,嘴馋|22|简单|鸡胸肉和玉米笋搭配，分量明确、步骤清楚，适合日常在家完成。|/static/dish_tomato_beef.png|["鸡胸肉 250g","玉米笋 180g","蒜 5g","生抽 10ml","黑胡椒 2g","食用油 10ml"]|["将鸡胸肉切成均匀小块，用生抽和黑胡椒拌匀静置10分钟。","把玉米笋洗净切好，较硬的蔬菜先焯水1分钟。","热锅放油，将鸡胸肉炒至完全熟透。","加入玉米笋和蒜末大火翻炒2分钟，尝味后装盘。"]
